id,name,generic,category,type,price,isAntibiotic,tags,image
1,Paracetamol 250mg,paracetamol,fever,tablet,41,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
2,Ibuprofen 500mg,ibuprofen,pain,capsule,101,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
3,Cetirizine 650mg,cetirizine,allergy,syrup,47,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
4,Omeprazole 250mg,omeprazole,acidity,tablet,40,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
5,ORS 500mg,ors,hydration,capsule,35,false,"{dehydration,diarrhea}",/medicines/ors.jpg
6,Amoxicillin 650mg,amoxicillin,infection,syrup,37,true,"{infection}",/medicines/amoxicillin.jpg
7,Azithromycin 250mg,azithromycin,infection,tablet,31,true,"{infection}",/medicines/azithromycin.jpg
8,Paracetamol 500mg,paracetamol,fever,capsule,75,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
9,Ibuprofen 650mg,ibuprofen,pain,syrup,73,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
10,Cetirizine 250mg,cetirizine,allergy,tablet,79,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
11,Omeprazole 500mg,omeprazole,acidity,capsule,73,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
12,ORS 650mg,ors,hydration,syrup,22,false,"{dehydration,diarrhea}",/medicines/ors.jpg
13,Amoxicillin 250mg,amoxicillin,infection,tablet,64,true,"{infection}",/medicines/amoxicillin.jpg
14,Azithromycin 500mg,azithromycin,infection,capsule,100,true,"{infection}",/medicines/azithromycin.jpg
15,Paracetamol 650mg,paracetamol,fever,syrup,24,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
16,Ibuprofen 250mg,ibuprofen,pain,tablet,111,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
17,Cetirizine 500mg,cetirizine,allergy,capsule,88,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
18,Omeprazole 650mg,omeprazole,acidity,syrup,117,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
19,ORS 250mg,ors,hydration,tablet,110,false,"{dehydration,diarrhea}",/medicines/ors.jpg
20,Amoxicillin 500mg,amoxicillin,infection,capsule,64,true,"{infection}",/medicines/amoxicillin.jpg
21,Azithromycin 650mg,azithromycin,infection,syrup,83,true,"{infection}",/medicines/azithromycin.jpg
22,Paracetamol 250mg,paracetamol,fever,tablet,102,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
23,Ibuprofen 500mg,ibuprofen,pain,capsule,41,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
24,Cetirizine 650mg,cetirizine,allergy,syrup,114,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
